,Diag,Model type,Best classifier,Best score,SD of best score,Number of positive examples,Score - SD
0,Diag: Oppositional Defiant Disorder,logisticregression,"Pipeline(steps=[('simpleimputer', SimpleImputer(strategy='median')),
                ('standardscaler', StandardScaler()),
                ('logisticregression',
                 LogisticRegression(C=0.010645154227479341,
                                    l1_ratio=0.9858813490365315,
                                    solver='saga'))])",0.6704425410628221,0.011741723456781976,469,0.6587008176060402
1,Diag: Specific Phobia,logisticregression,"Pipeline(steps=[('simpleimputer', SimpleImputer(strategy='median')),
                ('standardscaler', StandardScaler()),
                ('logisticregression',
                 LogisticRegression(C=4.099121879617019e-05,
                                    class_weight='balanced',
                                    l1_ratio=0.37975322424973434,
                                    solver='saga'))])",0.5900424687499913,0.0268968530208464,306,0.5631456157291449
2,Diag: No Diagnosis Given,logisticregression,"Pipeline(steps=[('simpleimputer', SimpleImputer(strategy='median')),
                ('standardscaler', StandardScaler()),
                ('logisticregression',
                 LogisticRegression(C=0.04781898118257166,
                                    l1_ratio=0.1071454646980885,
                                    penalty='elasticnet', solver='saga'))])",0.7473920277009255,0.017203144353665347,276,0.7301888833472602
3,Diag: ADHD-Inattentive Type,logisticregression,"Pipeline(steps=[('simpleimputer', SimpleImputer(strategy='median')),
                ('standardscaler', StandardScaler()),
                ('logisticregression',
                 LogisticRegression(C=0.030666040053197605,
                                    l1_ratio=0.5121800650036047,
                                    penalty='elasticnet', solver='saga'))])",0.5652886982388987,0.006871529601187413,919,0.5584171686377113
4,Diag: Language Disorder,logisticregression,"Pipeline(steps=[('simpleimputer', SimpleImputer(strategy='median')),
                ('standardscaler', StandardScaler()),
                ('logisticregression',
                 LogisticRegression(C=0.00039126113991809535,
                                    class_weight='balanced',
                                    l1_ratio=0.4250067785053959,
                                    solver='saga'))])",0.5905914953970426,0.011057891627546317,458,0.5795336037694963
5,Diag: Specific Learning Disorder with Impairment in Reading,logisticregression,"Pipeline(steps=[('simpleimputer', SimpleImputer(strategy='median')),
                ('standardscaler', StandardScaler()),
                ('logisticregression',
                 LogisticRegression(C=0.004127326400863833,
                                    l1_ratio=8.376793693276596e-05,
                                    penalty='elasticnet', solver='saga'))])",0.5910235078026927,0.0015224150879387137,619,0.589501092714754
6,Diag: ADHD-Combined Type,logisticregression,"Pipeline(steps=[('simpleimputer', SimpleImputer(strategy='median')),
                ('standardscaler', StandardScaler()),
                ('logisticregression',
                 LogisticRegression(C=0.04605945633702584,
                                    l1_ratio=0.9561059972781679,
                                    penalty='elasticnet', solver='saga'))])",0.6954129939525515,0.018777619653323713,931,0.6766353742992278
7,Diag: Generalized Anxiety Disorder,logisticregression,"Pipeline(steps=[('simpleimputer', SimpleImputer(strategy='median')),
                ('standardscaler', StandardScaler()),
                ('logisticregression',
                 LogisticRegression(C=0.06595927206992275,
                                    class_weight='balanced',
                                    l1_ratio=0.4489098196118041,
                                    penalty='elasticnet', solver='saga'))])",0.5936750467942438,0.016264915714248755,512,0.5774101310799951
8,Diag: Social Anxiety (Social Phobia),logisticregression,"Pipeline(steps=[('simpleimputer', SimpleImputer(strategy='median')),
                ('standardscaler', StandardScaler()),
                ('logisticregression',
                 LogisticRegression(C=0.01700174685763888,
                                    class_weight='balanced',
                                    l1_ratio=0.42177789277176525,
                                    penalty='elasticnet', solver='saga'))])",0.6092304480607997,0.02727283357469091,334,0.5819576144861088
9,Diag: Specific Learning Disorder with Impairment in Mathematics,logisticregression,"Pipeline(steps=[('simpleimputer', SimpleImputer(strategy='median')),
                ('standardscaler', StandardScaler()),
                ('logisticregression',
                 LogisticRegression(C=1.012094766372709,
                                    l1_ratio=0.023798568530365105,
                                    solver='saga'))])",0.5471915675674783,0.004954406689453621,294,0.5422371608780248
10,Diag: Enuresis,logisticregression,"Pipeline(steps=[('simpleimputer', SimpleImputer(strategy='median')),
                ('standardscaler', StandardScaler()),
                ('logisticregression',
                 LogisticRegression(C=0.0001592455815929452,
                                    l1_ratio=0.21886211460584004,
                                    solver='saga'))])",0.5505366930222422,0.005347364302936389,278,0.5451893287193058
11,Diag: Autism Spectrum Disorder,logisticregression,"Pipeline(steps=[('simpleimputer', SimpleImputer(strategy='median')),
                ('standardscaler', StandardScaler()),
                ('logisticregression',
                 LogisticRegression(C=0.0024574322629256585,
                                    l1_ratio=0.4789340201519573,
                                    solver='saga'))])",0.8614236877592515,0.016112786307478907,524,0.8453109014517726
