Diag,TP,TN,FP,FN,Prevalence,Accuracy,Precision,NPV,FDR,FOR,check_Pos,check_Neg,Recall (Sensitivity),FPR,FNR,TNR (Specificity),check_Pos2,check_Neg2,LR+,LR-,DOR,F1,MCC,BM,MK,Predicted Positive Ratio,ROC AUC,# of Positive Examples
Diag: ADHD-Combined Type,218.01,528.01,168.01,61.01,0.29,0.7651,0.5648,0.8964,0.4352,0.1036,1.0,1.0,0.7813,0.2414,0.2187,0.7586,1.0,1.0,3.2365,0.2883,1,0.6556,0.499,0.5399,0.46119999999999983,0.4,0.8363459399332591,931.0
Diag: ADHD-Inattentive Type,199.01,420.01,279.01,77.01,0.28,0.6349,0.4163,0.8451,0.5837,0.1549,1.0,1.0,0.721,0.3991,0.279,0.6009,1.0,1.0,1.8066,0.4643,1,0.5278,0.29,0.32189999999999985,0.2614000000000001,0.49,0.7372721900852148,919.0
Diag: No Diagnosis Given,52.01,603.01,289.01,31.01,0.09,0.6718,0.1525,0.9511,0.8475,0.0489,1.0,1.0,0.6265,0.324,0.3735,0.676,1.0,1.0,1.9336,0.5525,1,0.2453,0.177,0.3025,0.10359999999999991,0.35,0.7350613215192608,276.0
Diag: Autism Spectrum Disorder,111.01,502.01,316.01,46.01,0.16,0.6287,0.26,0.916,0.74,0.084,1.0,1.0,0.707,0.3863,0.293,0.6137,1.0,1.0,1.8302,0.4774,1,0.3802,0.2376,0.3207,0.17600000000000016,0.44,0.7216217899802222,524.0
Diag: Oppositional Defiant Disorder,103.01,450.01,384.01,38.01,0.14,0.5672,0.2115,0.9221,0.7885,0.0779,1.0,1.0,0.7305,0.4604,0.2695,0.5396,1.0,1.0,1.5867,0.4994,1,0.328,0.19,0.2701,0.13359999999999994,0.5,0.7072044492065921,469.0
Diag: Enuresis,57.01,397.01,495.01,26.01,0.09,0.4656,0.1033,0.9385,0.8967,0.0615,1.0,1.0,0.6867,0.5549,0.3133,0.4451,1.0,1.0,1.2375,0.7039,1,0.1796,0.0742,0.13179999999999992,0.04180000000000006,0.57,0.6198403479388406,278.0
Diag: Generalized Anxiety Disorder,87.01,463.01,358.01,67.01,0.16,0.5641,0.1955,0.8736,0.8045,0.1264,1.0,1.0,0.5649,0.4361,0.4351,0.5639,1.0,1.0,1.2953,0.7716,1,0.2905,0.0944,0.12880000000000003,0.06910000000000016,0.46,0.5884849012132812,512.0
Diag: Specific Learning Disorder with Impairment in Mathematics,39.01,611.01,276.01,49.01,0.09,0.6667,0.1238,0.9257,0.8762,0.0743,1.0,1.0,0.4432,0.3112,0.5568,0.6888,1.0,1.0,1.4242,0.8084,1,0.1935,0.0809,0.1319999999999999,0.04949999999999988,0.32,0.5862201496361586,294.0
Diag: Social Anxiety (Social Phobia),43.01,573.01,302.01,57.01,0.1,0.6318,0.1247,0.9095,0.8753,0.0905,1.0,1.0,0.43,0.3451,0.57,0.6549,1.0,1.0,1.246,0.8704,1,0.1933,0.0539,0.08489999999999998,0.03420000000000001,0.35,0.5752342857142858,334.0
Diag: Language Disorder,63.01,500.01,338.01,74.01,0.14,0.5774,0.1571,0.8711,0.8429,0.1289,1.0,1.0,0.4599,0.4033,0.5401,0.5967,1.0,1.0,1.1403,0.9051,1,0.2342,0.0399,0.056599999999999984,0.028200000000000003,0.41,0.559330522794976,458.0
Diag: Specific Learning Disorder with Impairment in Reading,108.01,389.01,400.01,78.01,0.19,0.5097,0.2126,0.833,0.7874,0.167,1.0,1.0,0.5806,0.507,0.4194,0.493,1.0,1.0,1.1452,0.8507,1,0.3112,0.0579,0.07359999999999989,0.04559999999999986,0.52,0.5519849544135084,619.0
Diag: Specific Phobia,37.01,530.01,353.01,55.01,0.09,0.5815,0.0949,0.906,0.9051,0.094,1.0,1.0,0.4022,0.3998,0.5978,0.6002,1.0,1.0,1.006,0.996,1,0.1536,0.0014,0.0023999999999999577,0.0009000000000001229,0.4,0.5075151410704614,306.0
