Diag,TP,TN,FP,FN,Prevalence,Accuracy,Precision,NPV,FDR,FOR,check_Pos,check_Neg,Recall (Sensitivity),FPR,FNR,TNR (Specificity),check_Pos2,check_Neg2,LR+,LR-,DOR,F1,MCC,BM,MK,Predicted Positive Ratio,ROC AUC,# of Positive Examples
Diag: Autism Spectrum Disorder,123.01,655.01,163.01,34.01,0.16,0.7979,0.4301,0.9506,0.5699,0.0494,1.0,1.0,0.7834,0.1993,0.2166,0.8007,1.0,1.0,3.9308,0.2705,1,0.5553,0.4716,0.5840999999999998,0.38070000000000004,0.29,0.8594443492750689,524.0
Diag: No Diagnosis Given,68.01,469.01,423.01,15.01,0.09,0.5508,0.1385,0.969,0.8615,0.031,1.0,1.0,0.8192,0.4742,0.1808,0.5258,1.0,1.0,1.7275,0.3439,1,0.2369,0.1926,0.3450000000000002,0.10749999999999993,0.5,0.7052379923280566,276.0
Diag: Oppositional Defiant Disorder,82.01,566.01,268.01,59.01,0.14,0.6646,0.2343,0.9056,0.7657,0.0944,1.0,1.0,0.5815,0.3213,0.4185,0.6787,1.0,1.0,1.8098,0.6166,1,0.334,0.1908,0.2602,0.1398999999999999,0.36,0.6775855911015868,469.0
Diag: ADHD-Combined Type,156.01,467.01,229.01,123.01,0.29,0.639,0.4052,0.7915,0.5948,0.2085,1.0,1.0,0.5591,0.329,0.4409,0.671,1.0,1.0,1.6994,0.6571,1,0.4699,0.2128,0.2301000000000002,0.19669999999999987,0.39,0.6539879701726198,931.0
Diag: Enuresis,47.01,522.01,370.01,36.01,0.09,0.5836,0.1127,0.9355,0.8873,0.0645,1.0,1.0,0.5662,0.4148,0.4338,0.5852,1.0,1.0,1.365,0.7413,1,0.188,0.0854,0.1514000000000002,0.04820000000000002,0.43,0.5971081635960884,278.0
Diag: ADHD-Inattentive Type,116.01,498.01,201.01,160.01,0.28,0.6297,0.3659,0.7568,0.6341,0.2432,1.0,1.0,0.4203,0.2876,0.5797,0.7124,1.0,1.0,1.4614,0.8137,1,0.3912,0.1277,0.13270000000000004,0.12270000000000003,0.33,0.5852097198896974,919.0
Diag: Generalized Anxiety Disorder,78.01,498.01,323.01,76.01,0.16,0.5908,0.1945,0.8676,0.8055,0.1324,1.0,1.0,0.5065,0.3934,0.4935,0.6066,1.0,1.0,1.2875,0.8136,1,0.2811,0.0838,0.11309999999999998,0.062100000000000044,0.41,0.5780011705712071,512.0
Diag: Language Disorder,68.01,487.01,351.01,69.01,0.14,0.5692,0.1623,0.8759,0.8377,0.1241,1.0,1.0,0.4964,0.4189,0.5036,0.5811,1.0,1.0,1.185,0.8666,1,0.2446,0.0544,0.0774999999999999,0.03820000000000001,0.43,0.5673614619444977,458.0
Diag: Specific Learning Disorder with Impairment in Reading,108.01,402.01,387.01,78.01,0.19,0.5231,0.2182,0.8375,0.7818,0.1625,1.0,1.0,0.5806,0.4905,0.4194,0.5095,1.0,1.0,1.1837,0.8232,1,0.3172,0.0708,0.09010000000000007,0.05570000000000008,0.51,0.5551909999046023,619.0
Diag: Social Anxiety (Social Phobia),60.01,402.01,473.01,40.01,0.1,0.4738,0.1126,0.9095,0.8874,0.0905,1.0,1.0,0.6,0.5406,0.4,0.4594,1.0,1.0,1.1099,0.8707,1,0.1896,0.0362,0.0593999999999999,0.02210000000000001,0.55,0.5531314285714286,334.0
Diag: Specific Phobia,47.01,450.01,433.01,45.01,0.09,0.5097,0.0979,0.9091,0.9021,0.0909,1.0,1.0,0.5109,0.4904,0.4891,0.5096,1.0,1.0,1.0418,0.9598,1,0.1643,0.012,0.020500000000000185,0.007000000000000117,0.49,0.5433366980156581,306.0
Diag: Specific Learning Disorder with Impairment in Mathematics,30.01,628.01,259.01,58.01,0.09,0.6749,0.1038,0.9154,0.8962,0.0846,1.0,1.0,0.3409,0.292,0.6591,0.708,1.0,1.0,1.1675,0.9309,1,0.1591,0.0307,0.048899999999999944,0.019200000000000106,0.3,0.5239443476478427,294.0
