Diag,TP,TN,FP,FN,Prevalence,Accuracy,Precision,NPV,FDR,FOR,check_Pos,check_Neg,Recall (Sensitivity),FPR,FNR,TNR (Specificity),check_Pos2,check_Neg2,LR+,LR-,DOR,F1,MCC,BM,MK,Predicted Positive Ratio,ROC AUC,# of Positive Examples
Diag: Autism Spectrum Disorder,124.01,710.01,108.01,33.01,0.16,0.8554,0.5345,0.9556,0.4655,0.0444,1.0,1.0,0.7898,0.132,0.2102,0.868,1.0,1.0,5.9833,0.2422,1,0.6375,0.5677,0.6577999999999999,0.4901,0.24,0.8997788609783066,524.0
Diag: Enuresis,68.01,794.01,98.01,15.01,0.09,0.8841,0.4096,0.9814,0.5904,0.0186,1.0,1.0,0.8192,0.1099,0.1808,0.8901,1.0,1.0,7.454,0.2031,1,0.5461,0.5267,0.7093,0.391,0.17,0.8867442865632935,278.0
Diag: Oppositional Defiant Disorder,122.01,593.01,241.01,19.01,0.14,0.7333,0.3361,0.9689,0.6639,0.0311,1.0,1.0,0.8652,0.289,0.1348,0.711,1.0,1.0,2.9938,0.1896,1,0.4841,0.4192,0.5762,0.30499999999999994,0.37,0.8637090327737811,469.0
Diag: ADHD-Combined Type,229.01,506.01,190.01,50.01,0.29,0.7538,0.5465,0.9101,0.4535,0.0899,1.0,1.0,0.8208,0.273,0.1792,0.727,1.0,1.0,3.0066,0.2465,1,0.6561,0.5001,0.5478000000000001,0.4565999999999999,0.43,0.8527170106702922,931.0
Diag: Generalized Anxiety Disorder,126.01,620.01,201.01,28.01,0.16,0.7651,0.3853,0.9568,0.6147,0.0432,1.0,1.0,0.8181,0.2448,0.1819,0.7552,1.0,1.0,3.3419,0.2409,1,0.5239,0.4429,0.5733000000000001,0.34209999999999985,0.34,0.8482370248509103,512.0
Diag: Social Anxiety (Social Phobia),72.01,681.01,194.01,28.01,0.1,0.7723,0.2707,0.9605,0.7293,0.0395,1.0,1.0,0.72,0.2217,0.28,0.7783,1.0,1.0,3.2476,0.3598,1,0.3935,0.3394,0.49829999999999997,0.23120000000000007,0.27,0.8270971428571429,334.0
Diag: ADHD-Inattentive Type,201.01,502.01,197.01,75.01,0.28,0.721,0.505,0.87,0.495,0.13,1.0,1.0,0.7282,0.2818,0.2718,0.7182,1.0,1.0,2.5841,0.3784,1,0.5964,0.4092,0.4463999999999999,0.375,0.41,0.7913893553938338,919.0
Diag: No Diagnosis Given,58.01,688.01,204.01,25.01,0.09,0.7651,0.2214,0.9649,0.7786,0.0351,1.0,1.0,0.6987,0.2287,0.3013,0.7713,1.0,1.0,3.0551,0.3906,1,0.3363,0.2959,0.47,0.1862999999999999,0.27,0.7821060024852773,276.0
Diag: Language Disorder,103.01,543.01,295.01,34.01,0.14,0.6626,0.2588,0.9411,0.7412,0.0589,1.0,1.0,0.7518,0.352,0.2482,0.648,1.0,1.0,2.1358,0.383,1,0.3851,0.2827,0.39979999999999993,0.19989999999999997,0.41,0.7463198787519815,458.0
Diag: Specific Phobia,61.01,619.01,264.01,31.01,0.09,0.6974,0.1877,0.9523,0.8123,0.0477,1.0,1.0,0.663,0.299,0.337,0.701,1.0,1.0,2.2174,0.4807,1,0.2926,0.2258,0.3639999999999999,0.14000000000000012,0.33,0.7417524250332364,306.0
